year,month,extent
1979,1,5.40
1980,1,4.56
1981,1,4.41
1982,1,5.26
1983,1,4.77
1984,1,4.78
1985,1,4.46
1986,1,5.42
1987,1,5.13
1988,1,-9999
1989,1,4.74
1990,1,4.87
1991,1,5.34
1992,1,4.75
1993,1,4.41
1994,1,4.97
1995,1,5.64
1996,1,5.87
1997,1,4.20
1998,1,4.46
1999,1,4.82
2000,1,4.75
2001,1,5.23
2002,1,4.74
2003,1,5.77
2004,1,5.59
2005,1,4.75
2006,1,4.16
2007,1,4.67
2008,1,6.41
2009,1,5.71
2010,1,4.96
2011,1,4.51
2012,1,5.65
2013,1,5.54
2014,1,6.33
2015,1,6.85
2016,1,4.69
2017,1,3.78
2018,1,4.21
2019,1,3.87
2020,1,4.60
2021,1,4.78
2022,1,3.94
2023,1,3.30
2024,1,4.05
2025,1,4.69
2026,1,4.49
1979,2,3.14
1980,2,2.82
1981,2,2.87
1982,2,3.13
1983,2,3.07
1984,2,2.68
1985,2,2.84
1986,2,3.19
1987,2,3.25
1988,2,2.89
1989,2,2.98
1990,2,3.04
1991,2,3.16
1992,2,2.84
1993,2,2.48
1994,2,3.20
1995,2,3.56
1996,2,2.98
1997,2,2.49
1998,2,2.99
1999,2,2.97
2000,2,2.91
2001,2,3.65
2002,2,2.96
2003,2,3.79
2004,2,3.58
2005,2,2.97
2006,2,2.65
2007,2,2.90
2008,2,3.89
2009,2,2.99
2010,2,3.11
2011,2,2.52
2012,2,3.55
2013,2,3.84
2014,2,3.84
2015,2,3.80
2016,2,2.79
2017,2,2.29
2018,2,2.33
2019,2,2.65
2020,2,2.92
2021,2,2.89
2022,2,2.21
2023,2,1.98
2024,2,2.19
2025,2,2.22
2026,2,2.91
1979,3,4.00
1980,3,3.29
1981,3,3.39
1982,3,4.29
1983,3,4.02
1984,3,3.61
1985,3,3.72
1986,3,3.70
1987,3,4.11
1988,3,3.97
1989,3,3.93
1990,3,3.97
1991,3,3.81
1992,3,3.57
1993,3,3.67
1994,3,4.55
1995,3,4.63
1996,3,4.18
1997,3,3.46
1998,3,4.11
1999,3,3.98
2000,3,4.09
2001,3,4.73
2002,3,3.75
2003,3,4.44
2004,3,4.53
2005,3,4.08
2006,3,3.21
2007,3,3.83
2008,3,5.28
2009,3,4.44
2010,3,3.85
2011,3,3.37
2012,3,4.55
2013,3,5.02
2014,3,4.90
