year,month,extent
1979,1,15.41
1980,1,14.86
1981,1,14.91
1982,1,15.18
1983,1,14.94
1984,1,14.47
1985,1,14.72
1986,1,14.89
1987,1,14.97
1988,1,-9999
1989,1,14.95
1990,1,14.78
1991,1,14.36
1992,1,14.64
1993,1,14.90
1994,1,14.73
1995,1,14.59
1996,1,14.18
1997,1,14.42
1998,1,14.72
1999,1,14.36
2000,1,14.22
2001,1,14.20
2002,1,14.27
2003,1,14.39
2004,1,14.03
2005,1,13.66
2006,1,13.47
2007,1,13.70
2008,1,13.89
2009,1,13.91
2010,1,13.74
2011,1,13.46
2012,1,13.73
2013,1,13.70
2014,1,13.65
2015,1,13.60
2016,1,13.46
2017,1,13.19
2018,1,13.08
2019,1,13.57
2020,1,13.64
2021,1,13.50
2022,1,13.87
2023,1,13.36
2024,1,13.92
2025,1,13.11
2026,1,13.11
1979,2,16.18
1980,2,15.96
1981,2,15.60
1982,2,15.97
1983,2,16.01
1984,2,15.30
1985,2,15.47
1986,2,15.78
1987,2,16.05
1988,2,15.58
1989,2,15.50
1990,2,15.58
1991,2,15.25
1992,2,15.46
1993,2,15.69
1994,2,15.56
1995,2,15.23
1996,2,15.15
1997,2,15.44
1998,2,15.75
1999,2,15.31
2000,2,15.14
2001,2,15.21
2002,2,15.34
2003,2,15.19
2004,2,14.91
2005,2,14.37
2006,2,14.32
2007,2,14.51
2008,2,14.95
2009,2,14.81
2010,2,14.58
2011,2,14.36
2012,2,14.55
2013,2,14.72
2014,2,14.42
2015,2,14.40
2016,2,14.20
2017,2,14.12
2018,2,13.97
2019,2,14.39
2020,2,14.64
2021,2,14.39
2022,2,14.61
2023,2,14.19
2024,2,14.61
2025,2,13.75
2026,2,14.10
1979,3,16.34
1980,3,16.04
1981,3,15.63
1982,3,16.04
1983,3,16.09
1984,3,15.58
1985,3,15.89
1986,3,15.91
1987,3,15.82
1988,3,15.96
1989,3,15.42
1990,3,15.87
1991,3,15.42
1992,3,15.48
1993,3,15.81
1994,3,15.55
1995,3,15.26
1996,3,15.12
1997,3,15.47
1998,3,15.60
1999,3,15.40
2000,3,15.22
2001,3,15.52
2002,3,15.35
2003,3,15.48
2004,3,14.99
2005,3,14.69
2006,3,14.42
2007,3,14.54
2008,3,15.18
2009,3,14.98
2010,3,15.14
2011,3,14.55
2012,3,15.20
2013,3,15.03
2014,3,14.76
2015,3,14.37
2016,3,14.40
2017,3,14.29
2018,3,14.30
2019,3,14.57
2020,3,14.73
2021,3,14.66
2022,3,14.59
2023,3,14.43
2024,3,14.87
2025,3,14.12
2026,3,14.13
1979,4,15.45
1980,4,15.43
1981,4,15.01
1982,4,15.47
1983,4,15.17
1984,4,15.01
1985,4,15.36
1986,4,15.06
1987,4,15.21
1988,4,15.12
1989,4,14.33
1990,4,14.65
1991,4,14.86
1992,4,14.68
1993,4,15.08
1994,4,14.89
1995,4,14.45
1996,4,14.22
1997,4,14.56
1998,4,14.89
1999,4,15.08
2000,4,14.56
2001,4,14.86
2002,4,14.30
2003,4,14.51
2004,4,13.99
2005,4,14.09
2006,4,13.91
2007,4,13.85
2008,4,14.35
2009,4,14.50
2010,4,14.66
2011,4,14.11
2012,4,14.63
2013,4,14.30
2014,4,14.09
2015,4,13.89
2016,4,13.68
2017,4,13.75
2018,4,13.70
2019,4,13.43
2020,4,13.62
2021,4,13.79
2022,4,13.99
2023,4,13.92
2024,4,14.04
2025,4,13.83
1979,5,13.86
1980,5,13.79
1981,5,13.80
1982,5,13.97
1983,5,13.49
1984,5,13.58
1985,5,14.07
1986,5,13.38
1987,5,13.74
1988,5,13.56
1989,5,13.04
1990,5,13.23
1991,5,13.47
1992,5,13.22
1993,5,13.37
1994,5,13.62
1995,5,12.97
1996,5,13.09
1997,5,13.18
1998,5,13.59
1999,5,13.75
2000,5,13.15
2001,5,13.51
2002,5,12.97
2003,5,13.02
2004,5,12.56
2005,5,12.91
2006,5,12.52
2007,5,12.78
2008,5,12.97
2009,5,13.19
2010,5,12.87
2011,5,12.68
2012,5,13.01
2013,5,13.00
2014,5,12.70
2015,5,12.47
2016,5,11.92
2017,5,12.63
2018,5,12.23
2019,5,12.19
2020,5,12.34
2021,5,12.68
2022,5,12.88
2023,5,12.82
2024,5,12.74
2025,5,12.49
1979,6,12.53
1980,6,12.20
1981,6,12.43
1982,6,12.48
1983,6,12.30
1984,6,12.15
1985,6,12.22
1986,6,11.98
1987,6,12.49
1988,6,11.94
1989,6,12.24
1990,6,11.64
1991,6,12.11
1992,6,12.15
1993,6,11.87
1994,6,12.02
1995,6,11.44
1996,6,12.08
1997,6,11.74
1998,6,11.71
1999,6,11.78
2000,6,11.67
2001,6,11.46
2002,6,11.58
2003,6,11.60
2004,6,11.45
2005,6,11.16
2006,6,10.92
2007,6,11.22
2008,6,11.21
2009,6,11.32
2010,6,10.59
2011,6,10.75
2012,6,10.67
2013,6,11.36
2014,6,11.03
2015,6,10.88
2016,6,10.41
2017,6,10.76
2018,6,10.78
2019,6,10.59
2020,6,10.59
2021,6,10.77
2022,6,10.88
2023,6,10.99
2024,6,10.85
2025,6,10.40
1979,7,10.31
1980,7,10.10
1981,7,10.27
1982,7,10.37
1983,7,10.57
1984,7,9.98
1985,7,9.74
1986,7,10.15
1987,7,10.33
1988,7,9.81
1989,7,10.13
1990,7,9.25
1991,7,9.51
1992,7,10.32
1993,7,9.48
1994,7,9.93
1995,7,8.99
1996,7,10.16
1997,7,9.41
1998,7,9.42
1999,7,9.49
2000,7,9.51
2001,7,9.07
2002,7,9.27
2003,7,9.21
2004,7,9.43
2005,7,8.65
2006,7,8.46
2007,7,7.94
2008,7,8.68
2009,7,8.47
2010,7,8.07
2011,7,7.72
2012,7,7.67
2013,7,8.13
2014,7,8.11
2015,7,8.38
2016,7,7.94
2017,7,7.94
2018,7,8.27
2019,7,7.59
2020,7,7.29
2021,7,7.65
2022,7,8.29
2023,7,8.21
2024,7,7.87
2025,7,7.66
1979,8,8.04
1980,8,7.98
1981,8,7.84
1982,8,8.14
1983,8,8.19
1984,8,7.77
1985,8,7.40
1986,8,7.98
1987,8,7.63
1988,8,7.89
1989,8,7.88
1990,8,6.80
1991,8,7.42
1992,8,7.93
1993,8,7.33
1994,8,7.64
1995,8,6.74
1996,8,8.18
1997,8,7.29
1998,8,7.51
1999,8,7.23
2000,8,7.17
2001,8,7.46
2002,8,6.60
2003,8,6.94
2004,8,6.85
2005,8,6.30
2006,8,6.50
2007,8,5.34
2008,8,5.91
2009,8,6.14
2010,8,5.87
2011,8,5.50
2012,8,4.72
2013,8,6.01
2014,8,6.08
2015,8,5.60
2016,8,5.37
2017,8,5.48
2018,8,5.61
2019,8,5.03
2020,8,5.07
2021,8,5.71
2022,8,5.95
2023,8,5.51
2024,8,5.13
2025,8,5.39
1979,9,7.05
1980,9,7.67
1981,9,7.14
1982,9,7.30
1983,9,7.39
1984,9,6.81
1985,9,6.70
1986,9,7.41
1987,9,7.28
1988,9,7.37
1989,9,7.01
1990,9,6.14
1991,9,6.47
1992,9,7.47
1993,9,6.40
1994,9,7.14
1995,9,6.08
1996,9,7.58
1997,9,6.69
1998,9,6.54
1999,9,6.12
2000,9,6.25
2001,9,6.73
2002,9,5.83
2003,9,6.12
2004,9,5.98
2005,9,5.50
2006,9,5.86
2007,9,4.27
2008,9,4.69
2009,9,5.26
2010,9,4.87
2011,9,4.56
2012,9,3.57
2013,9,5.21
2014,9,5.22
2015,9,4.62
2016,9,4.53
2017,9,4.82
2018,9,4.79
2019,9,4.36
2020,9,4.00
2021,9,4.95
2022,9,4.90
2023,9,4.38
2024,9,4.35
2025,9,4.75
1979,10,8.75
1980,10,9.18
1981,10,8.86
1982,10,9.42
1983,10,9.33
1984,10,8.56
1985,10,8.55
1986,10,9.48
1987,10,9.05
1988,10,9.13
1989,10,8.83
1990,10,8.48
1991,10,8.54
1992,10,9.32
1993,10,8.79
1994,10,8.92
1995,10,7.83
1996,10,9.16
1997,10,8.34
1998,10,8.45
1999,10,8.60
2000,10,8.38
2001,10,8.30
2002,10,8.16
2003,10,7.85
2004,10,7.93
2005,10,7.35
2006,10,7.54
2007,10,6.04
2008,10,7.35
2009,10,6.92
2010,10,6.98
2011,10,6.46
2012,10,5.89
2013,10,7.45
2014,10,7.23
2015,10,6.97
2016,10,6.08
2017,10,6.77
2018,10,6.13
2019,10,5.73
2020,10,5.33
2021,10,6.82
2022,10,6.66
2023,10,6.41
2024,10,5.93
2025,10,6.32
1978,11,11.65
1979,11,10.94
1980,11,11.38
1981,11,10.93
1982,11,11.63
1983,11,11.46
1984,11,10.84
1985,11,11.02
1986,11,11.45
1987,11,11.22
1988,11,11.33
1989,11,11.12
1990,11,11.08
1991,11,10.88
1992,11,11.38
1993,11,11.32
1994,11,11.12
1995,11,10.76
1996,11,10.40
1997,11,10.68
1998,11,10.44
1999,11,10.80
2000,11,10.32
2001,11,10.66
2002,11,10.34
2003,11,10.13
2004,11,10.34
2005,11,10.22
2006,11,9.66
2007,11,9.76
2008,11,10.34
2009,11,9.77
2010,11,9.61
2011,11,9.77
2012,11,9.39
2013,11,9.94
2014,11,10.11
2015,11,9.85
2016,11,8.66
2017,11,9.49
2018,11,9.82
2019,11,9.35
2020,11,8.99
2021,11,9.83
2022,11,9.73
2023,11,9.68
2024,11,9.15
2025,11,8.77
1978,12,13.67
1979,12,13.34
1980,12,13.59
1981,12,13.34
1982,12,13.64
1983,12,13.30
1984,12,12.99
1985,12,13.05
1986,12,13.22
1987,12,-9999
1988,12,13.63
1989,12,13.39
1990,12,13.11
1991,12,12.95
1992,12,13.41
1993,12,13.32
1994,12,13.27
1995,12,12.92
1996,12,12.86
1997,12,13.08
1998,12,12.76
1999,12,12.64
2000,12,12.64
2001,12,12.49
2002,12,12.61
2003,12,12.59
2004,12,12.55
2005,12,12.23
2006,12,11.95
2007,12,12.03
2008,12,12.36
2009,12,12.20
2010,12,11.83
2011,12,12.15
2012,12,12.01
2013,12,12.18
2014,12,12.35
2015,12,12.04
2016,12,11.46
2017,12,11.74
2018,12,11.86
2019,12,11.90
2020,12,11.73
2021,12,12.15
2022,12,11.89
2023,12,11.98
2024,12,11.41
2025,12,11.22
