Date Time, Water Level, Sigma, I, L 
2023-01-01 00:00,0.594,0.0,0,0
2023-01-01 01:00,0.386,0.015,0,0
2023-01-01 02:00,0.226,0.027,0,0
2023-01-01 03:00,0.258,0.018,0,0
2023-01-01 04:00,0.486,0.04,0,0
2023-01-01 05:00,0.846,0.019,0,0
2023-01-01 06:00,1.209,0.013,0,0
2023-01-01 07:00,1.425,0.014,0,0
2023-01-01 08:00,1.439,0.009,0,0
2023-01-01 09:00,1.497,0.014,0,0
2023-01-01 10:00,1.395,0.013,0,0
2023-01-01 11:00,1.224,0.016,0,0
2023-01-01 12:00,0.897,0.013,0,0
2023-01-01 13:00,0.602,0.012,0,0
2023-01-01 14:00,0.372,0.014,0,0
2023-01-01 15:00,0.203,0.016,0,0
2023-01-01 16:00,0.268,0.014,0,0
2023-01-01 17:00,0.416,0.023,0,0
2023-01-01 18:00,0.711,0.027,0,0
2023-01-01 19:00,0.909,0.037,0,0
2023-01-01 20:00,1.102,0.039,0,0
2023-01-01 21:00,1.219,0.045,0,0
2023-01-01 22:00,1.266,0.028,0,0
2023-01-01 23:00,1.142,0.086,0,0
2023-01-02 00:00,0.847,0.023,0,0
2023-01-02 01:00,0.513,0.015,0,0
2023-01-02 02:00,0.256,0.016,0,0
2023-01-02 03:00,0.109,0.01,0,0
2023-01-02 04:00,0.2,0.009,0,0
2023-01-02 05:00,0.476,0.012,0,0
2023-01-02 06:00,0.866,0.008,0,0
2023-01-02 07:00,1.212,0.005,0,0
2023-01-02 08:00,1.386,0.009,0,0
2023-01-02 09:00,1.464,0.006,0,0
2023-01-02 10:00,1.472,0.01,0,0
2023-01-02 11:00,1.367,0.016,0,0
2023-01-02 12:00,1.163,0.024,0,0
2023-01-02 13:00,0.864,0.026,0,0
2023-01-02 14:00,0.631,0.025,0,0
2023-01-02 15:00,0.428,0.024,0,0
2023-01-02 16:00,0.233,0.023,0,0
2023-01-02 17:00,0.223,0.033,0,0
2023-01-02 18:00,0.417,0.033,0,0
2023-01-02 19:00,0.74,0.024,0,0
2023-01-02 20:00,1.043,0.037,0,0
2023-01-02 21:00,1.255,0.041,0,0
2023-01-02 22:00,1.306,0.045,0,0
2023-01-02 23:00,1.231,0.025,0,0
2023-01-03 00:00,1.016,0.03,0,0
2023-01-03 01:00,0.738,0.02,0,0
2023-01-03 02:00,0.485,0.023,0,0
2023-01-03 03:00,0.331,0.049,0,0
2023-01-03 04:00,0.229,0.013,0,0
2023-01-03 05:00,0.332,0.008,0,0
2023-01-03 06:00,0.612,0.012,0,0
2023-01-03 07:00,0.984,0.01,0,0
2023-01-03 08:00,1.283,0.016,0,0
2023-01-03 09:00,1.461,0.021,0,0
2023-01-03 10:00,1.6,0.014,0,0
2023-01-03 11:00,1.665,0.025,0,0
2023-01-03 12:00,1.522,0.074,0,0
2023-01-03 13:00,1.273,0.037,0,0
2023-01-03 14:00,0.929,0.051,0,0
2023-01-03 15:00,0.646,0.029,0,0
2023-01-03 16:00,0.44,0.024,0,0
2023-01-03 17:00,0.328,0.024,0,0
2023-01-03 18:00,0.347,0.037,0,0
2023-01-03 19:00,0.6,0.065,0,0
2023-01-03 20:00,0.858,0.022,0,0
